tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
695,03:13.6,14:49.6,46,Christian Science Plaza - Massachusetts Ave at Westland Ave,42.34366582,-71.08582377,189,Kendall T,42.36242784,-71.08495474,5010,Subscriber,1989,2
2057,03:19.5,37:37.5,36,Copley Square - Dartmouth St at Boylston St,42.34992828,-71.07739207,188,Foss Park,42.39108438,-71.09039426,3040,Customer,1969,0
320,03:44.7,09:05.3,4,Tremont St at E Berkeley St,42.345392,-71.069616,57,Columbus Ave at Massachusetts Ave,42.34054262,-71.08138848,5430,Subscriber,1993,1
441,04:18.8,11:40.3,33,Kenmore Square,42.348706,-71.097009,9,Commonwealth Ave at Agganis Way,42.35169202,-71.11903489,2408,Subscriber,1998,1
1090,04:56.7,23:07.5,374,Tremont St at Hamilton Pl,42.35668335,-71.06166646,128,E Cottage St at Columbia Rd,42.320561,-71.06198,4258,Customer,1969,0
896,05:45.6,20:42.0,57,Columbus Ave at Massachusetts Ave,42.34054262,-71.08138848,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,3427,Subscriber,1987,1
775,07:15.3,20:10.6,227,Silber Way,42.349496,-71.10057592,41,Packard's Corner - Commonwealth Ave at Brighton Ave,42.352261,-71.123831,5643,Customer,1995,1
546,07:32.8,16:39.7,333,699 Mt Auburn St,42.37500235,-71.14871614,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,4860,Subscriber,1969,1
475,07:44.5,15:40.0,78,Union Square - Somerville,42.3796581,-71.0939428,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,5497,Customer,1969,0
508,08:33.7,17:02.1,179,MIT Vassar St,42.35560121,-71.10394478,380,Mass Ave at Albany St,42.36135838,-71.09670274,4256,Subscriber,1994,1
1704,09:57.1,38:21.8,345,Park Plaza at Charles St S.,42.35182807,-71.06781138,273,Forest Hills,42.300923,-71.114249,4762,Subscriber,1975,1
3231,11:33.1,05:25.0,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412,-71.07657015,408,Edgerly Education Center,42.38717463,-71.08714389,3677,Customer,1995,1
1664,12:37.1,40:21.7,100,Davis Square,42.396969,-71.123024,111,Packard Ave at Powderhouse Blvd,42.40449,-71.123413,2153,Customer,1969,0
549,12:43.9,21:53.8,14,HMS/HSPH - Avenue Louis Pasteur at Longwood Ave,42.33741748,-71.10286117,57,Columbus Ave at Massachusetts Ave,42.34054262,-71.08138848,4776,Customer,1969,0
503,13:03.2,21:27.1,49,Stuart St at Charles St,42.351146,-71.066289,60,Charles Circle - Charles St at Cambridge St,42.360185,-71.07086598,807,Subscriber,1980,1
501,13:15.9,21:37.7,49,Stuart St at Charles St,42.351146,-71.066289,60,Charles Circle - Charles St at Cambridge St,42.360185,-71.07086598,302,Subscriber,1983,1
1190,14:13.1,34:03.2,44,Congress St at North St,42.36041775,-71.05752244,296,Farragut Rd at E. 6th St,42.3334,-71.02495,5524,Customer,1994,0
648,14:13.7,25:01.8,183,Alewife MBTA at Steel Place,42.39558846,-71.14260614,112,Clarendon Hill at Broadway,42.406302,-71.132446,4264,Customer,1978,1
353,14:50.8,20:44.3,218,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,42.351586,-71.04569256,151,Surface Rd at India St,42.358155,-71.052163,979,Customer,1969,0
59808,14:59.9,51:48.3,36,Copley Square - Dartmouth St at Boylston St,42.34992828,-71.07739207,331,Huntington Ave at Mass Art,42.33658555,-71.09886996,3208,Customer,1969,0
1109,15:33.8,34:03.2,44,Congress St at North St,42.36041775,-71.05752244,296,Farragut Rd at E. 6th St,42.3334,-71.02495,2969,Customer,1969,0
511,17:04.6,25:36.4,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,5497,Subscriber,1988,1
553,17:53.6,27:07.0,21,Prudential Center - Belvedere St,42.34652004,-71.08065777,361,Deerfield St at Commonwealth Ave,42.34924377,-71.0972821,4437,Subscriber,1996,1
1780,20:52.0,50:32.6,53,Beacon St at Massachusetts Ave,42.35082681,-71.08981088,344,Commonwealth Ave at Chiswick Rd,42.34024645,-71.15168806,5452,Subscriber,1992,1
28389,20:57.3,14:07.3,61,Boylston St at Fairfield St,42.348762,-71.082383,374,Tremont St at Hamilton Pl,42.35668335,-71.06166646,4681,Customer,1969,0
568,20:59.1,30:27.4,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,2690,Customer,1998,2
632,21:01.1,31:33.2,185,Third at Binney,42.36544486,-71.08277142,177,University Park,42.36264779,-71.10006094,5335,Subscriber,1992,1
707,21:18.9,33:06.9,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,2059,Customer,1999,2
846,21:19.2,35:25.8,369,Boston Public Market,42.36254854,-71.05737358,98,Warren St at Chelsea St,42.371848,-71.060292,3728,Customer,1969,0
303,22:18.9,27:22.2,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,4408,Customer,2000,1
676,22:37.2,33:53.7,369,Boston Public Market,42.36254854,-71.05737358,98,Warren St at Chelsea St,42.371848,-71.060292,5219,Customer,1969,0
532,22:51.5,31:44.1,55,Boylston St at Massachusetts Ave,42.347265,-71.088088,331,Huntington Ave at Mass Art,42.33658555,-71.09886996,3339,Subscriber,1995,1
525,22:55.3,31:41.3,369,Boston Public Market,42.36254854,-71.05737358,98,Warren St at Chelsea St,42.371848,-71.060292,5477,Customer,1969,0
941,23:10.3,38:51.7,44,Congress St at North St,42.36041775,-71.05752244,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,5373,Customer,1969,0
932,23:21.8,38:54.3,44,Congress St at North St,42.36041775,-71.05752244,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,2709,Customer,1969,0
731,23:55.5,36:06.6,342,Boylston St at Jersey St,42.34465063,-71.09732501,359,One Brigham Circle,42.3339227,-71.10446509,5496,Customer,1969,0
494,24:08.1,32:22.3,342,Boylston St at Jersey St,42.34465063,-71.09732501,359,One Brigham Circle,42.3339227,-71.10446509,5541,Customer,1995,1
1083,24:09.0,42:12.6,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,90,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,4484,Subscriber,1980,1
883,24:11.1,38:54.3,53,Beacon St at Massachusetts Ave,42.35082681,-71.08981088,56,Dudley Square - Dudley St at Warren St,42.32984299,-71.08386572,743,Subscriber,1977,1
365,24:19.8,30:25.1,177,University Park,42.36264779,-71.10006094,117,Binney St / Sixth St,42.36608797,-71.08633604,2766,Subscriber,1974,1
457,24:26.1,32:03.8,342,Boylston St at Jersey St,42.34465063,-71.09732501,359,One Brigham Circle,42.3339227,-71.10446509,3564,Customer,1998,1
